dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar10,resnet18,blended,0.05,raw512,raw,,,512,0.055352,2.661334,4742,2500,10,0.7
cifar10,resnet18,blended,0.05,pca50,pca,,,50,0.059414,2.593045,4742,2500,10,0.6
cifar10,resnet18,blended,0.05,pca2,pca,,,2,0.092532,1.891406,4742,2500,10,0.6
cifar10,resnet18,blended,0.05,tsne_p15_s0,tsne,15.0,0,2,0.41538,0.867516,4742,2500,10,0.6
cifar10,resnet18,blended,0.05,tsne_p15_s1,tsne,15.0,1,2,0.416285,0.865086,4742,2500,10,0.6
cifar10,resnet18,blended,0.05,tsne_p15_s2,tsne,15.0,2,2,0.414864,0.868759,4742,2500,10,0.6
cifar10,resnet18,blended,0.05,tsne_p15_s3,tsne,15.0,3,2,0.416201,0.865847,4742,2500,10,0.6
cifar10,resnet18,blended,0.05,tsne_p15_s4,tsne,15.0,4,2,0.416407,0.864518,4742,2500,10,0.6
cifar10,resnet18,blended,0.05,tsne_p30_s0,tsne,30.0,0,2,0.467193,0.747708,4742,2500,10,0.6
cifar10,resnet18,blended,0.05,tsne_p30_s1,tsne,30.0,1,2,0.47792,0.719941,4742,2500,10,0.6
cifar10,resnet18,blended,0.05,tsne_p30_s2,tsne,30.0,2,2,0.476125,0.734378,4742,2500,10,0.6
cifar10,resnet18,blended,0.05,tsne_p30_s3,tsne,30.0,3,2,0.467717,0.752063,4742,2500,10,0.6
cifar10,resnet18,blended,0.05,tsne_p30_s4,tsne,30.0,4,2,0.470129,0.736903,4742,2500,10,0.6
cifar10,resnet18,blended,0.05,tsne_p50_s0,tsne,50.0,0,2,0.51232,0.643501,4742,2500,10,0.6
cifar10,resnet18,blended,0.05,tsne_p50_s1,tsne,50.0,1,2,0.504632,0.657788,4742,2500,10,0.6
cifar10,resnet18,blended,0.05,tsne_p50_s2,tsne,50.0,2,2,0.507497,0.663012,4742,2500,10,0.6
cifar10,resnet18,blended,0.05,tsne_p50_s3,tsne,50.0,3,2,0.507411,0.669391,4742,2500,10,0.6
cifar10,resnet18,blended,0.05,tsne_p50_s4,tsne,50.0,4,2,0.502285,0.674109,4742,2500,10,0.6
