dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar100,resnet18,dfst,0.003,raw512,raw,,,512,0.238209,0.983992,500,150,80,0.2
cifar100,resnet18,dfst,0.003,pca50,pca,,,50,0.259621,0.941569,500,150,80,0.2
cifar100,resnet18,dfst,0.003,pca2,pca,,,2,0.583339,0.465467,500,150,80,0.1
cifar100,resnet18,dfst,0.003,tsne_p15_s0,tsne,15.0,0,2,0.66862,0.320574,500,150,80,0.1
cifar100,resnet18,dfst,0.003,tsne_p15_s1,tsne,15.0,1,2,0.666004,0.322912,500,150,80,0.1
cifar100,resnet18,dfst,0.003,tsne_p15_s2,tsne,15.0,2,2,0.661117,0.327001,500,150,80,0.1
cifar100,resnet18,dfst,0.003,tsne_p15_s3,tsne,15.0,3,2,0.670584,0.323488,500,150,80,0.1
cifar100,resnet18,dfst,0.003,tsne_p15_s4,tsne,15.0,4,2,0.673631,0.319256,500,150,80,0.1
cifar100,resnet18,dfst,0.003,tsne_p30_s0,tsne,30.0,0,2,0.725104,0.265292,500,150,80,0.1
cifar100,resnet18,dfst,0.003,tsne_p30_s1,tsne,30.0,1,2,0.729541,0.260367,500,150,80,0.1
cifar100,resnet18,dfst,0.003,tsne_p30_s2,tsne,30.0,2,2,0.721026,0.266948,500,150,80,0.1
cifar100,resnet18,dfst,0.003,tsne_p30_s3,tsne,30.0,3,2,0.726792,0.262892,500,150,80,0.1
cifar100,resnet18,dfst,0.003,tsne_p30_s4,tsne,30.0,4,2,0.72466,0.265709,500,150,80,0.1
cifar100,resnet18,dfst,0.003,tsne_p50_s0,tsne,50.0,0,2,0.749182,0.242679,500,150,80,0.1
cifar100,resnet18,dfst,0.003,tsne_p50_s1,tsne,50.0,1,2,0.753606,0.241663,500,150,80,0.1
cifar100,resnet18,dfst,0.003,tsne_p50_s2,tsne,50.0,2,2,0.749241,0.243408,500,150,80,0.1
cifar100,resnet18,dfst,0.003,tsne_p50_s3,tsne,50.0,3,2,0.750061,0.243396,500,150,80,0.1
cifar100,resnet18,dfst,0.003,tsne_p50_s4,tsne,50.0,4,2,0.747196,0.24678,500,150,80,0.1
