dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar100,resnet18,badnet,0.05,raw512,raw,,,512,0.516413,1.540756,469,2500,100,0.3
cifar100,resnet18,badnet,0.05,pca50,pca,,,50,0.546203,1.415095,469,2500,100,0.3
cifar100,resnet18,badnet,0.05,pca2,pca,,,2,0.774981,0.454145,469,2500,100,0.3
cifar100,resnet18,badnet,0.05,tsne_p15_s0,tsne,15.0,0,2,0.471897,0.466047,469,2500,100,0.2
cifar100,resnet18,badnet,0.05,tsne_p15_s1,tsne,15.0,1,2,0.47257,0.471053,469,2500,100,0.2
cifar100,resnet18,badnet,0.05,tsne_p15_s2,tsne,15.0,2,2,0.469645,0.468449,469,2500,100,0.2
cifar100,resnet18,badnet,0.05,tsne_p15_s3,tsne,15.0,3,2,0.473884,0.466395,469,2500,100,0.2
cifar100,resnet18,badnet,0.05,tsne_p15_s4,tsne,15.0,4,2,0.471106,0.467729,469,2500,100,0.2
cifar100,resnet18,badnet,0.05,tsne_p30_s0,tsne,30.0,0,2,0.515364,0.414018,469,2500,100,0.2
cifar100,resnet18,badnet,0.05,tsne_p30_s1,tsne,30.0,1,2,0.507402,0.424417,469,2500,100,0.2
cifar100,resnet18,badnet,0.05,tsne_p30_s2,tsne,30.0,2,2,0.506956,0.434678,469,2500,100,0.2
cifar100,resnet18,badnet,0.05,tsne_p30_s3,tsne,30.0,3,2,0.506761,0.429827,469,2500,100,0.2
cifar100,resnet18,badnet,0.05,tsne_p30_s4,tsne,30.0,4,2,0.509218,0.427527,469,2500,100,0.2
cifar100,resnet18,badnet,0.05,tsne_p50_s0,tsne,50.0,0,2,0.534161,0.410439,469,2500,100,0.2
cifar100,resnet18,badnet,0.05,tsne_p50_s1,tsne,50.0,1,2,0.518829,0.423084,469,2500,100,0.2
cifar100,resnet18,badnet,0.05,tsne_p50_s2,tsne,50.0,2,2,0.51701,0.422741,469,2500,100,0.2
cifar100,resnet18,badnet,0.05,tsne_p50_s3,tsne,50.0,3,2,0.520039,0.415844,469,2500,100,0.2
cifar100,resnet18,badnet,0.05,tsne_p50_s4,tsne,50.0,4,2,0.525695,0.422507,469,2500,100,0.2
