dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar10,resnet18,adaptive_patch,0.05,raw512,raw,,,512,0.210913,1.883919,4766,2500,10,0.7
cifar10,resnet18,adaptive_patch,0.05,pca50,pca,,,50,0.214263,1.847728,4766,2500,10,0.6
cifar10,resnet18,adaptive_patch,0.05,pca2,pca,,,2,0.311414,1.513341,4766,2500,10,0.6
cifar10,resnet18,adaptive_patch,0.05,tsne_p15_s0,tsne,15.0,0,2,0.257431,1.372748,4766,2500,10,0.6
cifar10,resnet18,adaptive_patch,0.05,tsne_p15_s1,tsne,15.0,1,2,0.256604,1.371661,4766,2500,10,0.6
cifar10,resnet18,adaptive_patch,0.05,tsne_p15_s2,tsne,15.0,2,2,0.257162,1.378099,4766,2500,10,0.6
cifar10,resnet18,adaptive_patch,0.05,tsne_p15_s3,tsne,15.0,3,2,0.256957,1.370753,4766,2500,10,0.6
cifar10,resnet18,adaptive_patch,0.05,tsne_p15_s4,tsne,15.0,4,2,0.257053,1.367318,4766,2500,10,0.6
cifar10,resnet18,adaptive_patch,0.05,tsne_p30_s0,tsne,30.0,0,2,0.254501,1.276109,4766,2500,10,0.6
cifar10,resnet18,adaptive_patch,0.05,tsne_p30_s1,tsne,30.0,1,2,0.254011,1.290908,4766,2500,10,0.6
cifar10,resnet18,adaptive_patch,0.05,tsne_p30_s2,tsne,30.0,2,2,0.255234,1.278155,4766,2500,10,0.6
cifar10,resnet18,adaptive_patch,0.05,tsne_p30_s3,tsne,30.0,3,2,0.254145,1.294853,4766,2500,10,0.6
cifar10,resnet18,adaptive_patch,0.05,tsne_p30_s4,tsne,30.0,4,2,0.253995,1.291938,4766,2500,10,0.6
cifar10,resnet18,adaptive_patch,0.05,tsne_p50_s0,tsne,50.0,0,2,0.245674,1.390842,4766,2500,10,0.6
cifar10,resnet18,adaptive_patch,0.05,tsne_p50_s1,tsne,50.0,1,2,0.246002,1.380649,4766,2500,10,0.8
cifar10,resnet18,adaptive_patch,0.05,tsne_p50_s2,tsne,50.0,2,2,0.24533,1.393543,4766,2500,10,0.6
cifar10,resnet18,adaptive_patch,0.05,tsne_p50_s3,tsne,50.0,3,2,0.24543,1.392231,4766,2500,10,0.6
cifar10,resnet18,adaptive_patch,0.05,tsne_p50_s4,tsne,50.0,4,2,0.245527,1.390313,4766,2500,10,0.6
