dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar100,resnet18,grond,0.007,raw512,raw,,,512,0.119379,3.68065,150,350,1,0.0
cifar100,resnet18,grond,0.007,pca50,pca,,,50,0.128233,3.441677,150,350,1,0.0
cifar100,resnet18,grond,0.007,pca2,pca,,,2,0.261808,1.411154,150,350,1,0.0
cifar100,resnet18,grond,0.007,tsne_p15_s0,tsne,15.0,0,2,0.232834,1.904904,150,350,1,0.0
cifar100,resnet18,grond,0.007,tsne_p15_s1,tsne,15.0,1,2,0.252456,1.935706,150,350,1,0.0
cifar100,resnet18,grond,0.007,tsne_p15_s2,tsne,15.0,2,2,0.211089,1.905056,150,350,1,0.0
cifar100,resnet18,grond,0.007,tsne_p15_s3,tsne,15.0,3,2,0.160602,2.399807,150,350,1,0.0
cifar100,resnet18,grond,0.007,tsne_p15_s4,tsne,15.0,4,2,0.250071,1.706036,150,350,1,0.0
cifar100,resnet18,grond,0.007,tsne_p30_s0,tsne,30.0,0,2,0.216644,1.97286,150,350,1,0.0
cifar100,resnet18,grond,0.007,tsne_p30_s1,tsne,30.0,1,2,0.244521,1.829995,150,350,1,0.0
cifar100,resnet18,grond,0.007,tsne_p30_s2,tsne,30.0,2,2,0.263792,1.572144,150,350,1,0.0
cifar100,resnet18,grond,0.007,tsne_p30_s3,tsne,30.0,3,2,0.229293,2.186173,150,350,1,0.0
cifar100,resnet18,grond,0.007,tsne_p30_s4,tsne,30.0,4,2,0.215578,2.064726,150,350,1,0.0
cifar100,resnet18,grond,0.007,tsne_p50_s0,tsne,50.0,0,2,0.17775,5.877536,150,350,1,0.0
cifar100,resnet18,grond,0.007,tsne_p50_s1,tsne,50.0,1,2,0.171498,8.07252,150,350,1,0.0
cifar100,resnet18,grond,0.007,tsne_p50_s2,tsne,50.0,2,2,0.265516,1.613085,150,350,1,0.0
cifar100,resnet18,grond,0.007,tsne_p50_s3,tsne,50.0,3,2,0.283651,1.415941,150,350,1,0.0
cifar100,resnet18,grond,0.007,tsne_p50_s4,tsne,50.0,4,2,0.312467,1.218916,150,350,1,0.0
