dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
imagenette,resnet18,badnet,0.05,raw512,raw,,,512,0.241711,1.21665,918,473,10,0.1
imagenette,resnet18,badnet,0.05,pca50,pca,,,50,0.24528,1.199473,918,473,10,0.1
imagenette,resnet18,badnet,0.05,pca2,pca,,,2,0.508009,0.602035,918,473,10,0.0
imagenette,resnet18,badnet,0.05,tsne_p15_s0,tsne,15.0,0,2,0.549509,0.46238,918,473,10,0.0
imagenette,resnet18,badnet,0.05,tsne_p15_s1,tsne,15.0,1,2,0.54856,0.463213,918,473,10,0.0
imagenette,resnet18,badnet,0.05,tsne_p15_s2,tsne,15.0,2,2,0.550486,0.460093,918,473,10,0.0
imagenette,resnet18,badnet,0.05,tsne_p15_s3,tsne,15.0,3,2,0.549456,0.46163,918,473,10,0.0
imagenette,resnet18,badnet,0.05,tsne_p15_s4,tsne,15.0,4,2,0.548636,0.463123,918,473,10,0.0
imagenette,resnet18,badnet,0.05,tsne_p30_s0,tsne,30.0,0,2,0.606134,0.405271,918,473,10,0.0
imagenette,resnet18,badnet,0.05,tsne_p30_s1,tsne,30.0,1,2,0.591073,0.421987,918,473,10,0.0
imagenette,resnet18,badnet,0.05,tsne_p30_s2,tsne,30.0,2,2,0.587227,0.411619,918,473,10,0.0
imagenette,resnet18,badnet,0.05,tsne_p30_s3,tsne,30.0,3,2,0.590777,0.420975,918,473,10,0.1
imagenette,resnet18,badnet,0.05,tsne_p30_s4,tsne,30.0,4,2,0.589739,0.424743,918,473,10,0.0
imagenette,resnet18,badnet,0.05,tsne_p50_s0,tsne,50.0,0,2,0.596788,0.405943,918,473,10,0.0
imagenette,resnet18,badnet,0.05,tsne_p50_s1,tsne,50.0,1,2,0.605579,0.403906,918,473,10,0.0
imagenette,resnet18,badnet,0.05,tsne_p50_s2,tsne,50.0,2,2,0.596906,0.410042,918,473,10,0.0
imagenette,resnet18,badnet,0.05,tsne_p50_s3,tsne,50.0,3,2,0.607538,0.402419,918,473,10,0.0
imagenette,resnet18,badnet,0.05,tsne_p50_s4,tsne,50.0,4,2,0.600915,0.403058,918,473,10,0.0
