dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar10,resnet18,grond,0.05,raw512,raw,,,512,0.156488,2.629229,2500,2500,1,0.3
cifar10,resnet18,grond,0.05,pca50,pca,,,50,0.161662,2.570667,2500,2500,1,0.4
cifar10,resnet18,grond,0.05,pca2,pca,,,2,0.292322,1.313048,2500,2500,1,0.3
cifar10,resnet18,grond,0.05,tsne_p15_s0,tsne,15.0,0,2,0.390521,1.007389,2500,2500,1,0.3
cifar10,resnet18,grond,0.05,tsne_p15_s1,tsne,15.0,1,2,0.389809,1.008812,2500,2500,1,0.3
cifar10,resnet18,grond,0.05,tsne_p15_s2,tsne,15.0,2,2,0.390154,1.008495,2500,2500,1,0.3
cifar10,resnet18,grond,0.05,tsne_p15_s3,tsne,15.0,3,2,0.39054,1.006617,2500,2500,1,0.3
cifar10,resnet18,grond,0.05,tsne_p15_s4,tsne,15.0,4,2,0.390111,1.009028,2500,2500,1,0.3
cifar10,resnet18,grond,0.05,tsne_p30_s0,tsne,30.0,0,2,0.42381,0.902967,2500,2500,1,0.3
cifar10,resnet18,grond,0.05,tsne_p30_s1,tsne,30.0,1,2,0.428245,0.89245,2500,2500,1,0.3
cifar10,resnet18,grond,0.05,tsne_p30_s2,tsne,30.0,2,2,0.422653,0.901031,2500,2500,1,0.3
cifar10,resnet18,grond,0.05,tsne_p30_s3,tsne,30.0,3,2,0.426217,0.894647,2500,2500,1,0.3
cifar10,resnet18,grond,0.05,tsne_p30_s4,tsne,30.0,4,2,0.419616,0.914324,2500,2500,1,0.3
cifar10,resnet18,grond,0.05,tsne_p50_s0,tsne,50.0,0,2,0.462091,0.808909,2500,2500,1,0.3
cifar10,resnet18,grond,0.05,tsne_p50_s1,tsne,50.0,1,2,0.441876,0.854013,2500,2500,1,0.3
cifar10,resnet18,grond,0.05,tsne_p50_s2,tsne,50.0,2,2,0.432266,0.876876,2500,2500,1,0.3
cifar10,resnet18,grond,0.05,tsne_p50_s3,tsne,50.0,3,2,0.43151,0.874208,2500,2500,1,0.3
cifar10,resnet18,grond,0.05,tsne_p50_s4,tsne,50.0,4,2,0.43309,0.881907,2500,2500,1,0.3
