dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar10,resnet18,narcissus,0.003,raw512,raw,,,512,-0.043578,5.953293,4850,150,1,0.3
cifar10,resnet18,narcissus,0.003,pca50,pca,,,50,-0.045088,5.9012,4850,150,1,0.3
cifar10,resnet18,narcissus,0.003,pca2,pca,,,2,-0.089641,5.915531,4850,150,1,0.3
cifar10,resnet18,narcissus,0.003,tsne_p15_s0,tsne,15.0,0,2,0.002413,5.49377,4850,150,1,0.3
cifar10,resnet18,narcissus,0.003,tsne_p15_s1,tsne,15.0,1,2,0.00097,5.541741,4850,150,1,0.3
cifar10,resnet18,narcissus,0.003,tsne_p15_s2,tsne,15.0,2,2,0.002788,5.636421,4850,150,1,0.3
cifar10,resnet18,narcissus,0.003,tsne_p15_s3,tsne,15.0,3,2,0.000581,5.595932,4850,150,1,0.3
cifar10,resnet18,narcissus,0.003,tsne_p15_s4,tsne,15.0,4,2,0.008117,5.444656,4850,150,1,0.3
cifar10,resnet18,narcissus,0.003,tsne_p30_s0,tsne,30.0,0,2,-0.02438,6.685769,4850,150,1,0.3
cifar10,resnet18,narcissus,0.003,tsne_p30_s1,tsne,30.0,1,2,-0.023211,7.092535,4850,150,1,0.3
cifar10,resnet18,narcissus,0.003,tsne_p30_s2,tsne,30.0,2,2,-0.020181,6.715528,4850,150,1,0.3
cifar10,resnet18,narcissus,0.003,tsne_p30_s3,tsne,30.0,3,2,-0.026835,6.41912,4850,150,1,0.3
cifar10,resnet18,narcissus,0.003,tsne_p30_s4,tsne,30.0,4,2,-0.00138,6.212283,4850,150,1,0.3
cifar10,resnet18,narcissus,0.003,tsne_p50_s0,tsne,50.0,0,2,-0.050362,6.261496,4850,150,1,0.3
cifar10,resnet18,narcissus,0.003,tsne_p50_s1,tsne,50.0,1,2,-0.044977,7.153538,4850,150,1,0.3
cifar10,resnet18,narcissus,0.003,tsne_p50_s2,tsne,50.0,2,2,0.004996,4.722481,4850,150,1,0.3
cifar10,resnet18,narcissus,0.003,tsne_p50_s3,tsne,50.0,3,2,-0.042119,6.880881,4850,150,1,0.3
cifar10,resnet18,narcissus,0.003,tsne_p50_s4,tsne,50.0,4,2,-0.014498,8.731851,4850,150,1,0.3
