dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar10,resnet18,dfst,0.05,raw512,raw,,,512,0.302507,1.137311,5000,2500,9,0.7
cifar10,resnet18,dfst,0.05,pca50,pca,,,50,0.311327,1.109252,5000,2500,9,0.6
cifar10,resnet18,dfst,0.05,pca2,pca,,,2,0.669139,0.460206,5000,2500,9,0.6
cifar10,resnet18,dfst,0.05,tsne_p15_s0,tsne,15.0,0,2,0.452336,0.744666,5000,2500,9,0.6
cifar10,resnet18,dfst,0.05,tsne_p15_s1,tsne,15.0,1,2,0.445318,0.765579,5000,2500,9,0.6
cifar10,resnet18,dfst,0.05,tsne_p15_s2,tsne,15.0,2,2,0.448872,0.757583,5000,2500,9,0.6
cifar10,resnet18,dfst,0.05,tsne_p15_s3,tsne,15.0,3,2,0.452621,0.762755,5000,2500,9,0.6
cifar10,resnet18,dfst,0.05,tsne_p15_s4,tsne,15.0,4,2,0.447322,0.750143,5000,2500,9,0.6
cifar10,resnet18,dfst,0.05,tsne_p30_s0,tsne,30.0,0,2,0.517191,0.655901,5000,2500,9,0.6
cifar10,resnet18,dfst,0.05,tsne_p30_s1,tsne,30.0,1,2,0.51708,0.654852,5000,2500,9,0.6
cifar10,resnet18,dfst,0.05,tsne_p30_s2,tsne,30.0,2,2,0.517737,0.648502,5000,2500,9,0.7
cifar10,resnet18,dfst,0.05,tsne_p30_s3,tsne,30.0,3,2,0.515929,0.658307,5000,2500,9,0.7
cifar10,resnet18,dfst,0.05,tsne_p30_s4,tsne,30.0,4,2,0.513918,0.662814,5000,2500,9,0.7
cifar10,resnet18,dfst,0.05,tsne_p50_s0,tsne,50.0,0,2,0.580493,0.526718,5000,2500,9,0.6
cifar10,resnet18,dfst,0.05,tsne_p50_s1,tsne,50.0,1,2,0.578106,0.532673,5000,2500,9,0.6
cifar10,resnet18,dfst,0.05,tsne_p50_s2,tsne,50.0,2,2,0.599314,0.515985,5000,2500,9,0.8
cifar10,resnet18,dfst,0.05,tsne_p50_s3,tsne,50.0,3,2,0.587252,0.520444,5000,2500,9,0.6
cifar10,resnet18,dfst,0.05,tsne_p50_s4,tsne,50.0,4,2,0.574075,0.548769,5000,2500,9,0.6
