dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
imagenette,resnet18,blended,0.003,raw512,raw,,,512,0.086682,1.936495,960,28,10,0.0
imagenette,resnet18,blended,0.003,pca50,pca,,,50,0.087684,1.929307,960,28,10,0.1
imagenette,resnet18,blended,0.003,pca2,pca,,,2,0.014565,2.82509,960,28,10,0.0
imagenette,resnet18,blended,0.003,tsne_p15_s0,tsne,15.0,0,2,0.043397,2.911741,960,28,10,0.1
imagenette,resnet18,blended,0.003,tsne_p15_s1,tsne,15.0,1,2,0.083328,2.380505,960,28,10,0.1
imagenette,resnet18,blended,0.003,tsne_p15_s2,tsne,15.0,2,2,0.115909,2.078543,960,28,10,0.0
imagenette,resnet18,blended,0.003,tsne_p15_s3,tsne,15.0,3,2,0.061145,2.020504,960,28,10,0.0
imagenette,resnet18,blended,0.003,tsne_p15_s4,tsne,15.0,4,2,0.088933,2.164554,960,28,10,0.0
imagenette,resnet18,blended,0.003,tsne_p30_s0,tsne,30.0,0,2,0.114972,1.93369,960,28,10,0.0
imagenette,resnet18,blended,0.003,tsne_p30_s1,tsne,30.0,1,2,0.101352,2.191358,960,28,10,0.0
imagenette,resnet18,blended,0.003,tsne_p30_s2,tsne,30.0,2,2,0.096047,2.010333,960,28,10,0.1
imagenette,resnet18,blended,0.003,tsne_p30_s3,tsne,30.0,3,2,0.099949,2.014792,960,28,10,0.0
imagenette,resnet18,blended,0.003,tsne_p30_s4,tsne,30.0,4,2,0.119111,2.125594,960,28,10,0.0
imagenette,resnet18,blended,0.003,tsne_p50_s0,tsne,50.0,0,2,0.168075,1.831668,960,28,10,0.0
imagenette,resnet18,blended,0.003,tsne_p50_s1,tsne,50.0,1,2,0.097123,2.180702,960,28,10,0.1
imagenette,resnet18,blended,0.003,tsne_p50_s2,tsne,50.0,2,2,0.110353,1.873003,960,28,10,0.0
imagenette,resnet18,blended,0.003,tsne_p50_s3,tsne,50.0,3,2,0.153308,1.918897,960,28,10,0.0
imagenette,resnet18,blended,0.003,tsne_p50_s4,tsne,50.0,4,2,0.14169,1.992507,960,28,10,0.0
