dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar100,resnet18,adaptive_blend,0.003,raw512,raw,,,512,0.208311,1.087285,496,150,82,0.2
cifar100,resnet18,adaptive_blend,0.003,pca50,pca,,,50,0.216485,1.054561,496,150,82,0.2
cifar100,resnet18,adaptive_blend,0.003,pca2,pca,,,2,0.476955,0.566894,496,150,82,0.1
cifar100,resnet18,adaptive_blend,0.003,tsne_p15_s0,tsne,15.0,0,2,0.111588,1.689322,496,150,82,0.1
cifar100,resnet18,adaptive_blend,0.003,tsne_p15_s1,tsne,15.0,1,2,0.159499,1.856339,496,150,82,0.1
cifar100,resnet18,adaptive_blend,0.003,tsne_p15_s2,tsne,15.0,2,2,0.160201,1.751923,496,150,82,0.1
cifar100,resnet18,adaptive_blend,0.003,tsne_p15_s3,tsne,15.0,3,2,0.1668,1.41148,496,150,82,0.1
cifar100,resnet18,adaptive_blend,0.003,tsne_p15_s4,tsne,15.0,4,2,0.142758,1.497952,496,150,82,0.1
cifar100,resnet18,adaptive_blend,0.003,tsne_p30_s0,tsne,30.0,0,2,0.194723,1.313091,496,150,82,0.1
cifar100,resnet18,adaptive_blend,0.003,tsne_p30_s1,tsne,30.0,1,2,0.214396,1.682196,496,150,82,0.1
cifar100,resnet18,adaptive_blend,0.003,tsne_p30_s2,tsne,30.0,2,2,0.192937,1.295058,496,150,82,0.1
cifar100,resnet18,adaptive_blend,0.003,tsne_p30_s3,tsne,30.0,3,2,0.216662,1.622706,496,150,82,0.1
cifar100,resnet18,adaptive_blend,0.003,tsne_p30_s4,tsne,30.0,4,2,0.204877,1.391756,496,150,82,0.1
cifar100,resnet18,adaptive_blend,0.003,tsne_p50_s0,tsne,50.0,0,2,0.230794,1.213512,496,150,82,0.1
cifar100,resnet18,adaptive_blend,0.003,tsne_p50_s1,tsne,50.0,1,2,0.208759,1.397532,496,150,82,0.1
cifar100,resnet18,adaptive_blend,0.003,tsne_p50_s2,tsne,50.0,2,2,0.241968,1.261319,496,150,82,0.1
cifar100,resnet18,adaptive_blend,0.003,tsne_p50_s3,tsne,50.0,3,2,0.160501,1.586376,496,150,82,0.1
cifar100,resnet18,adaptive_blend,0.003,tsne_p50_s4,tsne,50.0,4,2,0.225955,1.323335,496,150,82,0.1
