dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar10,resnet18,blended,0.003,raw512,raw,,,512,0.036771,1.925265,4982,150,10,0.4
cifar10,resnet18,blended,0.003,pca50,pca,,,50,0.035392,1.871737,4982,150,10,0.3
cifar10,resnet18,blended,0.003,pca2,pca,,,2,-0.129947,3.839088,4982,150,10,0.3
cifar10,resnet18,blended,0.003,tsne_p15_s0,tsne,15.0,0,2,0.24143,0.868621,4982,150,10,0.3
cifar10,resnet18,blended,0.003,tsne_p15_s1,tsne,15.0,1,2,0.246855,0.859795,4982,150,10,0.3
cifar10,resnet18,blended,0.003,tsne_p15_s2,tsne,15.0,2,2,0.255804,0.849329,4982,150,10,0.3
cifar10,resnet18,blended,0.003,tsne_p15_s3,tsne,15.0,3,2,0.242687,0.864288,4982,150,10,0.3
cifar10,resnet18,blended,0.003,tsne_p15_s4,tsne,15.0,4,2,0.241586,0.866041,4982,150,10,0.3
cifar10,resnet18,blended,0.003,tsne_p30_s0,tsne,30.0,0,2,0.269178,0.775054,4982,150,10,0.3
cifar10,resnet18,blended,0.003,tsne_p30_s1,tsne,30.0,1,2,0.299334,0.723555,4982,150,10,0.3
cifar10,resnet18,blended,0.003,tsne_p30_s2,tsne,30.0,2,2,0.300708,0.727921,4982,150,10,0.3
cifar10,resnet18,blended,0.003,tsne_p30_s3,tsne,30.0,3,2,0.280865,0.759142,4982,150,10,0.3
cifar10,resnet18,blended,0.003,tsne_p30_s4,tsne,30.0,4,2,0.290431,0.766268,4982,150,10,0.3
cifar10,resnet18,blended,0.003,tsne_p50_s0,tsne,50.0,0,2,0.317225,0.663441,4982,150,10,0.3
cifar10,resnet18,blended,0.003,tsne_p50_s1,tsne,50.0,1,2,0.301872,0.685703,4982,150,10,0.3
cifar10,resnet18,blended,0.003,tsne_p50_s2,tsne,50.0,2,2,0.281706,0.68408,4982,150,10,0.3
cifar10,resnet18,blended,0.003,tsne_p50_s3,tsne,50.0,3,2,0.285087,0.68912,4982,150,10,0.3
cifar10,resnet18,blended,0.003,tsne_p50_s4,tsne,50.0,4,2,0.275795,0.714567,4982,150,10,0.3
