dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar100,resnet18,wanet,0.003,raw512,raw,,,512,0.224833,0.922136,498,136,80,0.2
cifar100,resnet18,wanet,0.003,pca50,pca,,,50,0.233881,0.88923,498,136,80,0.2
cifar100,resnet18,wanet,0.003,pca2,pca,,,2,0.349834,0.840555,498,136,80,0.1
cifar100,resnet18,wanet,0.003,tsne_p15_s0,tsne,15.0,0,2,0.202413,1.196541,498,136,80,0.1
cifar100,resnet18,wanet,0.003,tsne_p15_s1,tsne,15.0,1,2,0.186673,1.001888,498,136,80,0.1
cifar100,resnet18,wanet,0.003,tsne_p15_s2,tsne,15.0,2,2,0.240087,1.586621,498,136,80,0.1
cifar100,resnet18,wanet,0.003,tsne_p15_s3,tsne,15.0,3,2,0.211837,1.011833,498,136,80,0.1
cifar100,resnet18,wanet,0.003,tsne_p15_s4,tsne,15.0,4,2,0.209999,0.971513,498,136,80,0.1
cifar100,resnet18,wanet,0.003,tsne_p30_s0,tsne,30.0,0,2,0.239434,1.075785,498,136,80,0.2
cifar100,resnet18,wanet,0.003,tsne_p30_s1,tsne,30.0,1,2,0.216015,1.404485,498,136,80,0.1
cifar100,resnet18,wanet,0.003,tsne_p30_s2,tsne,30.0,2,2,0.20625,1.085736,498,136,80,0.1
cifar100,resnet18,wanet,0.003,tsne_p30_s3,tsne,30.0,3,2,0.190229,1.771847,498,136,80,0.1
cifar100,resnet18,wanet,0.003,tsne_p30_s4,tsne,30.0,4,2,0.228685,1.131832,498,136,80,0.1
cifar100,resnet18,wanet,0.003,tsne_p50_s0,tsne,50.0,0,2,0.261773,1.173681,498,136,80,0.1
cifar100,resnet18,wanet,0.003,tsne_p50_s1,tsne,50.0,1,2,0.250377,1.258711,498,136,80,0.1
cifar100,resnet18,wanet,0.003,tsne_p50_s2,tsne,50.0,2,2,0.250861,1.894281,498,136,80,0.1
cifar100,resnet18,wanet,0.003,tsne_p50_s3,tsne,50.0,3,2,0.25992,1.674535,498,136,80,0.1
cifar100,resnet18,wanet,0.003,tsne_p50_s4,tsne,50.0,4,2,0.270202,1.214146,498,136,80,0.1
