dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar10,resnet18,badnet,0.003,raw512,raw,,,512,0.338151,1.103563,4982,150,10,0.4
cifar10,resnet18,badnet,0.003,pca50,pca,,,50,0.342467,1.066288,4982,150,10,0.3
cifar10,resnet18,badnet,0.003,pca2,pca,,,2,0.507728,0.802391,4982,150,10,0.3
cifar10,resnet18,badnet,0.003,tsne_p15_s0,tsne,15.0,0,2,0.295251,0.716112,4982,150,10,0.4
cifar10,resnet18,badnet,0.003,tsne_p15_s1,tsne,15.0,1,2,0.293898,0.721067,4982,150,10,0.3
cifar10,resnet18,badnet,0.003,tsne_p15_s2,tsne,15.0,2,2,0.302994,0.713069,4982,150,10,0.3
cifar10,resnet18,badnet,0.003,tsne_p15_s3,tsne,15.0,3,2,0.296321,0.715454,4982,150,10,0.3
cifar10,resnet18,badnet,0.003,tsne_p15_s4,tsne,15.0,4,2,0.300885,0.707843,4982,150,10,0.3
cifar10,resnet18,badnet,0.003,tsne_p30_s0,tsne,30.0,0,2,0.360258,0.622554,4982,150,10,0.3
cifar10,resnet18,badnet,0.003,tsne_p30_s1,tsne,30.0,1,2,0.36727,0.616497,4982,150,10,0.3
cifar10,resnet18,badnet,0.003,tsne_p30_s2,tsne,30.0,2,2,0.371014,0.612797,4982,150,10,0.3
cifar10,resnet18,badnet,0.003,tsne_p30_s3,tsne,30.0,3,2,0.363417,0.621599,4982,150,10,0.3
cifar10,resnet18,badnet,0.003,tsne_p30_s4,tsne,30.0,4,2,0.356229,0.624117,4982,150,10,0.3
cifar10,resnet18,badnet,0.003,tsne_p50_s0,tsne,50.0,0,2,0.41006,0.577077,4982,150,10,0.3
cifar10,resnet18,badnet,0.003,tsne_p50_s1,tsne,50.0,1,2,0.404047,0.565568,4982,150,10,0.3
cifar10,resnet18,badnet,0.003,tsne_p50_s2,tsne,50.0,2,2,0.412256,0.562365,4982,150,10,0.3
cifar10,resnet18,badnet,0.003,tsne_p50_s3,tsne,50.0,3,2,0.421757,0.559275,4982,150,10,0.3
cifar10,resnet18,badnet,0.003,tsne_p50_s4,tsne,50.0,4,2,0.412671,0.5728,4982,150,10,0.3
