dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar100,resnet18,blended,0.05,raw512,raw,,,512,0.396274,2.057832,469,2500,100,0.3
cifar100,resnet18,blended,0.05,pca50,pca,,,50,0.417274,1.88856,469,2500,100,0.3
cifar100,resnet18,blended,0.05,pca2,pca,,,2,0.631526,0.69494,469,2500,100,0.2
cifar100,resnet18,blended,0.05,tsne_p15_s0,tsne,15.0,0,2,0.417976,0.643296,469,2500,100,0.2
cifar100,resnet18,blended,0.05,tsne_p15_s1,tsne,15.0,1,2,0.413114,0.653477,469,2500,100,0.2
cifar100,resnet18,blended,0.05,tsne_p15_s2,tsne,15.0,2,2,0.415597,0.64473,469,2500,100,0.2
cifar100,resnet18,blended,0.05,tsne_p15_s3,tsne,15.0,3,2,0.420846,0.626935,469,2500,100,0.2
cifar100,resnet18,blended,0.05,tsne_p15_s4,tsne,15.0,4,2,0.428005,0.613748,469,2500,100,0.2
cifar100,resnet18,blended,0.05,tsne_p30_s0,tsne,30.0,0,2,0.435258,0.634133,469,2500,100,0.2
cifar100,resnet18,blended,0.05,tsne_p30_s1,tsne,30.0,1,2,0.426832,0.622096,469,2500,100,0.2
cifar100,resnet18,blended,0.05,tsne_p30_s2,tsne,30.0,2,2,0.436239,0.612445,469,2500,100,0.2
cifar100,resnet18,blended,0.05,tsne_p30_s3,tsne,30.0,3,2,0.436755,0.632391,469,2500,100,0.2
cifar100,resnet18,blended,0.05,tsne_p30_s4,tsne,30.0,4,2,0.437208,0.615805,469,2500,100,0.2
cifar100,resnet18,blended,0.05,tsne_p50_s0,tsne,50.0,0,2,0.429358,0.652283,469,2500,100,0.2
cifar100,resnet18,blended,0.05,tsne_p50_s1,tsne,50.0,1,2,0.430935,0.650494,469,2500,100,0.2
cifar100,resnet18,blended,0.05,tsne_p50_s2,tsne,50.0,2,2,0.430284,0.64626,469,2500,100,0.2
cifar100,resnet18,blended,0.05,tsne_p50_s3,tsne,50.0,3,2,0.428916,0.652125,469,2500,100,0.2
cifar100,resnet18,blended,0.05,tsne_p50_s4,tsne,50.0,4,2,0.428231,0.647465,469,2500,100,0.2
