dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
imagenette,resnet18,adaptive_patch,0.003,raw512,raw,,,512,0.027564,2.455856,960,28,9,0.0
imagenette,resnet18,adaptive_patch,0.003,pca50,pca,,,50,0.026388,2.458855,960,28,9,0.1
imagenette,resnet18,adaptive_patch,0.003,pca2,pca,,,2,-0.027803,3.273577,960,28,9,0.0
imagenette,resnet18,adaptive_patch,0.003,tsne_p15_s0,tsne,15.0,0,2,-0.041361,3.751494,960,28,9,0.1
imagenette,resnet18,adaptive_patch,0.003,tsne_p15_s1,tsne,15.0,1,2,-0.046964,4.445924,960,28,9,0.0
imagenette,resnet18,adaptive_patch,0.003,tsne_p15_s2,tsne,15.0,2,2,-0.038787,4.002546,960,28,9,0.0
imagenette,resnet18,adaptive_patch,0.003,tsne_p15_s3,tsne,15.0,3,2,-0.039801,3.600029,960,28,9,0.1
imagenette,resnet18,adaptive_patch,0.003,tsne_p15_s4,tsne,15.0,4,2,-0.04326,8.750894,960,28,9,0.1
imagenette,resnet18,adaptive_patch,0.003,tsne_p30_s0,tsne,30.0,0,2,-0.047869,3.646002,960,28,9,0.0
imagenette,resnet18,adaptive_patch,0.003,tsne_p30_s1,tsne,30.0,1,2,-0.047173,3.494537,960,28,9,0.0
imagenette,resnet18,adaptive_patch,0.003,tsne_p30_s2,tsne,30.0,2,2,-0.075424,4.676296,960,28,9,0.1
imagenette,resnet18,adaptive_patch,0.003,tsne_p30_s3,tsne,30.0,3,2,-0.042352,3.638496,960,28,9,0.0
imagenette,resnet18,adaptive_patch,0.003,tsne_p30_s4,tsne,30.0,4,2,-0.06053,4.232583,960,28,9,0.0
imagenette,resnet18,adaptive_patch,0.003,tsne_p50_s0,tsne,50.0,0,2,-0.064788,3.73075,960,28,9,0.0
imagenette,resnet18,adaptive_patch,0.003,tsne_p50_s1,tsne,50.0,1,2,-0.046251,3.444432,960,28,9,0.0
imagenette,resnet18,adaptive_patch,0.003,tsne_p50_s2,tsne,50.0,2,2,-0.048633,3.237867,960,28,9,0.0
imagenette,resnet18,adaptive_patch,0.003,tsne_p50_s3,tsne,50.0,3,2,-0.053941,5.216646,960,28,9,0.0
imagenette,resnet18,adaptive_patch,0.003,tsne_p50_s4,tsne,50.0,4,2,-0.033345,3.765479,960,28,9,0.0
