dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar10,resnet18,bpp,0.003,raw512,raw,,,512,0.490029,1.448365,4981,136,10,0.4
cifar10,resnet18,bpp,0.003,pca50,pca,,,50,0.493202,1.432362,4981,136,10,0.4
cifar10,resnet18,bpp,0.003,pca2,pca,,,2,0.593961,1.44785,4981,136,10,0.3
cifar10,resnet18,bpp,0.003,tsne_p15_s0,tsne,15.0,0,2,0.238128,3.102708,4981,136,10,0.3
cifar10,resnet18,bpp,0.003,tsne_p15_s1,tsne,15.0,1,2,0.236725,3.258153,4981,136,10,0.3
cifar10,resnet18,bpp,0.003,tsne_p15_s2,tsne,15.0,2,2,0.239179,3.066134,4981,136,10,0.3
cifar10,resnet18,bpp,0.003,tsne_p15_s3,tsne,15.0,3,2,0.236462,3.157978,4981,136,10,0.3
cifar10,resnet18,bpp,0.003,tsne_p15_s4,tsne,15.0,4,2,0.233496,3.205498,4981,136,10,0.3
cifar10,resnet18,bpp,0.003,tsne_p30_s0,tsne,30.0,0,2,0.229106,2.824037,4981,136,10,0.3
cifar10,resnet18,bpp,0.003,tsne_p30_s1,tsne,30.0,1,2,0.228659,3.305938,4981,136,10,0.3
cifar10,resnet18,bpp,0.003,tsne_p30_s2,tsne,30.0,2,2,0.233803,3.349942,4981,136,10,0.3
cifar10,resnet18,bpp,0.003,tsne_p30_s3,tsne,30.0,3,2,0.235134,3.400862,4981,136,10,0.3
cifar10,resnet18,bpp,0.003,tsne_p30_s4,tsne,30.0,4,2,0.227058,3.623087,4981,136,10,0.3
cifar10,resnet18,bpp,0.003,tsne_p50_s0,tsne,50.0,0,2,0.212725,2.725297,4981,136,10,0.3
cifar10,resnet18,bpp,0.003,tsne_p50_s1,tsne,50.0,1,2,0.209994,1.898482,4981,136,10,0.3
cifar10,resnet18,bpp,0.003,tsne_p50_s2,tsne,50.0,2,2,0.213961,2.247954,4981,136,10,0.3
cifar10,resnet18,bpp,0.003,tsne_p50_s3,tsne,50.0,3,2,0.219719,2.01153,4981,136,10,0.3
cifar10,resnet18,bpp,0.003,tsne_p50_s4,tsne,50.0,4,2,0.217657,2.046399,4981,136,10,0.3
