dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar100,resnet18,adaptive_blend,0.05,raw512,raw,,,512,-0.038335,2.38669,476,2500,100,0.3
cifar100,resnet18,adaptive_blend,0.05,pca50,pca,,,50,-0.027848,2.162687,476,2500,100,0.3
cifar100,resnet18,adaptive_blend,0.05,pca2,pca,,,2,0.216611,1.012714,476,2500,100,0.2
cifar100,resnet18,adaptive_blend,0.05,tsne_p15_s0,tsne,15.0,0,2,-0.025707,1.683845,476,2500,100,0.2
cifar100,resnet18,adaptive_blend,0.05,tsne_p15_s1,tsne,15.0,1,2,-0.029554,1.587326,476,2500,100,0.2
cifar100,resnet18,adaptive_blend,0.05,tsne_p15_s2,tsne,15.0,2,2,0.101016,1.281969,476,2500,100,0.2
cifar100,resnet18,adaptive_blend,0.05,tsne_p15_s3,tsne,15.0,3,2,-0.005891,1.424112,476,2500,100,0.2
cifar100,resnet18,adaptive_blend,0.05,tsne_p15_s4,tsne,15.0,4,2,-0.059899,1.753377,476,2500,100,0.2
cifar100,resnet18,adaptive_blend,0.05,tsne_p30_s0,tsne,30.0,0,2,0.070625,1.141984,476,2500,100,0.2
cifar100,resnet18,adaptive_blend,0.05,tsne_p30_s1,tsne,30.0,1,2,0.045924,1.238415,476,2500,100,0.2
cifar100,resnet18,adaptive_blend,0.05,tsne_p30_s2,tsne,30.0,2,2,0.038324,1.57574,476,2500,100,0.2
cifar100,resnet18,adaptive_blend,0.05,tsne_p30_s3,tsne,30.0,3,2,0.007391,1.409666,476,2500,100,0.2
cifar100,resnet18,adaptive_blend,0.05,tsne_p30_s4,tsne,30.0,4,2,-0.004174,1.439088,476,2500,100,0.2
cifar100,resnet18,adaptive_blend,0.05,tsne_p50_s0,tsne,50.0,0,2,0.021848,1.511179,476,2500,100,0.2
cifar100,resnet18,adaptive_blend,0.05,tsne_p50_s1,tsne,50.0,1,2,0.01317,1.322563,476,2500,100,0.2
cifar100,resnet18,adaptive_blend,0.05,tsne_p50_s2,tsne,50.0,2,2,-0.06046,1.885399,476,2500,100,0.2
cifar100,resnet18,adaptive_blend,0.05,tsne_p50_s3,tsne,50.0,3,2,0.034232,1.324915,476,2500,100,0.2
cifar100,resnet18,adaptive_blend,0.05,tsne_p50_s4,tsne,50.0,4,2,-0.016994,1.459878,476,2500,100,0.2
