dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
imagenette,resnet18,bpp,0.003,raw512,raw,,,512,0.403534,1.071272,957,40,10,0.0
imagenette,resnet18,bpp,0.003,pca50,pca,,,50,0.406488,1.061114,957,40,10,0.1
imagenette,resnet18,bpp,0.003,pca2,pca,,,2,0.555811,0.675892,957,40,10,0.0
imagenette,resnet18,bpp,0.003,tsne_p15_s0,tsne,15.0,0,2,0.238448,0.794244,957,40,10,0.0
imagenette,resnet18,bpp,0.003,tsne_p15_s1,tsne,15.0,1,2,0.223245,1.134314,957,40,10,0.0
imagenette,resnet18,bpp,0.003,tsne_p15_s2,tsne,15.0,2,2,0.224706,0.793736,957,40,10,0.0
imagenette,resnet18,bpp,0.003,tsne_p15_s3,tsne,15.0,3,2,0.217918,1.047963,957,40,10,0.0
imagenette,resnet18,bpp,0.003,tsne_p15_s4,tsne,15.0,4,2,0.233832,1.012902,957,40,10,0.0
imagenette,resnet18,bpp,0.003,tsne_p30_s0,tsne,30.0,0,2,0.230931,0.810418,957,40,10,0.0
imagenette,resnet18,bpp,0.003,tsne_p30_s1,tsne,30.0,1,2,0.210354,0.891127,957,40,10,0.0
imagenette,resnet18,bpp,0.003,tsne_p30_s2,tsne,30.0,2,2,0.216172,0.915781,957,40,10,0.0
imagenette,resnet18,bpp,0.003,tsne_p30_s3,tsne,30.0,3,2,0.211259,0.867223,957,40,10,0.0
imagenette,resnet18,bpp,0.003,tsne_p30_s4,tsne,30.0,4,2,0.225519,0.832195,957,40,10,0.0
imagenette,resnet18,bpp,0.003,tsne_p50_s0,tsne,50.0,0,2,0.222618,1.092842,957,40,10,0.0
imagenette,resnet18,bpp,0.003,tsne_p50_s1,tsne,50.0,1,2,0.224648,1.107241,957,40,10,0.0
imagenette,resnet18,bpp,0.003,tsne_p50_s2,tsne,50.0,2,2,0.222581,0.837848,957,40,10,0.1
imagenette,resnet18,bpp,0.003,tsne_p50_s3,tsne,50.0,3,2,0.230325,1.075422,957,40,10,0.0
imagenette,resnet18,bpp,0.003,tsne_p50_s4,tsne,50.0,4,2,0.236316,0.828154,957,40,10,0.0
