dataset,attack,VGG_CDBI,ResNet_CDBI,VGG_TUP,ResNet_TUP
cifar10,grond,1.2093741519451615,0.868,0.5221898555755615,1.87
cifar10,narcissus,0.835208495780737,0.767,0.6274834275245667,2.15
cifar10,dfba,,,0.9864652156829834,10.2
cifar100,grond,1.775306293254649,1.95,6.19706392288208,8.86
cifar100,narcissus,0.8565612977456982,3.47,3.7321970462799072,8.75
cifar100,dfba,,,4.354146957397461,10.6
imagenette,grond,2.830358120905717,24.0,1.1127170324325562,1.61
imagenette,narcissus,6.676653766034084,4.27,1.2620958089828491,2.64
imagenette,dfba,,,11.348257064819336,13.5
