Dataset,Attack,PR,l1,l2,l_inf,MSE,PSNR,SSIM,LPIPS,IS,pHash,SAM,SS,DSWD,BMS,UCLC,TAC,CDBI,TUP,SPECTRE_F1,STRIP_F1,SS_F1,CLP_ASR,IBAU_ASR,NC_Norm,FeatureRE_ASR,TABOR_Score,BTI_Detected,BAN_Detected,ASR_Before
Imagenette,wanet,0.003,225.0,2.94,0.19,0.000494,33.3,0.981,0.014,0.0775,98.0,0.0111,0.192,0.474,15.29,6.49,2.55,0.809,3.84,0.008,0.893,0.0,87.45,0.0,773.287,30.86,777.157,0,209,61.0
Imagenette,bpp,0.05,151.0,1.3,0.0196,8.79e-05,40.6,0.983,0.00187,0.099,99.4,0.0294,0.607,1.34,142.88,8.82,59.2,0.518,13.9,0.096,0.793,0.202,1.92,0.1,190.388,100.0,198.392,0,715,73.6
Imagenette,bpp,0.003,151.0,1.3,0.0196,8.79e-05,40.6,0.983,0.00187,0.099,99.4,0.0294,0.227,0.0402,14.48,5.19,0.394,0.854,1.56,0.01,0.825,0.001,1.02,0.0,713.54,81.48,721.787,32,0,1.02
Imagenette,narcissus,0.05,3310.0,24.6,0.188,0.0317,15.0,0.615,0.428,3.37,82.8,0.268,0.0431,1.34,20.0,5.41,5.59,4.27,2.64,0.088,0.877,0.054,83.38,0.0,932.268,44.44,943.413,0,0,86.1
Imagenette,narcissus,0.003,3310.0,24.6,0.188,0.0317,15.0,0.615,0.428,3.37,82.8,0.268,-0.0164,0.883,14.9,6.42,4.64,7.54,2.13,0.006,0.423,0.006,45.92,0.0,878.91,69.14,888.085,0,116,13.6
Imagenette,adaptive_patch,0.05,424.0,16.7,0.96,0.0147,18.4,0.955,0.054,0.238,86.9,0.009,0.0822,0.588,26.72,6.24,11.5,2.9,5.72,0.078,0.697,0.017,33.04,2.1,372.325,77.78,376.74,0,947,20.2
Imagenette,adaptive_patch,0.003,424.0,16.7,0.96,0.0147,18.4,0.955,0.054,0.238,86.9,0.009,-0.0455,0.106,14.28,7.62,1.42,4.45,2.35,0.005,0.127,0.0,10.24,0.1,1020.848,64.2,1030.888,38,596,0.565
Imagenette,adaptive_blend,0.05,1640.0,13.9,0.198,0.0102,19.9,0.697,0.203,3.09,89.9,0.0969,0.063,1.26,22.74,5.08,5.61,3.0,3.29,0.063,0.188,0.022,95.41,2.9,672.295,82.72,683.304,0,947,94.9
Imagenette,adaptive_blend,0.003,1640.0,13.9,0.198,0.0102,19.9,0.697,0.203,3.09,89.9,0.0969,-0.0657,0.965,18.05,5.67,4.71,12.3,2.45,0.006,0.03,0.0,72.07,1.9,888.594,55.56,903.251,0,7,54.4
Imagenette,dfst,0.05,3220.0,28.9,0.532,0.0456,13.5,0.692,0.335,1.52,88.1,0.334,0.641,2.2,127.1,6.29,18.9,0.476,3.81,0.051,0.007,0.0,98.42,0.8,819.277,90.12,830.711,245,947,99.5
Imagenette,dfst,0.003,3220.0,28.9,0.532,0.0456,13.5,0.692,0.335,1.52,88.1,0.334,0.261,2.15,54.43,4.61,10.8,0.934,4.43,0.006,0.055,0.0,98.21,1.0,814.905,50.62,823.215,196,0,99.7
Imagenette,grond,0.05,476.0,3.66,0.0352,0.0007,31.6,0.882,0.0482,1.02,99.1,0.0521,0.0308,1.05,22.79,3.14,4.2,24.0,1.61,0.093,0.244,0.074,52.48,1.1,552.044,45.68,561.01,0,45,60.2
Imagenette,grond,0.003,476.0,3.66,0.0352,0.0007,31.6,0.882,0.0482,1.02,99.1,0.0521,0.0546,0.286,14.83,3.73,2.19,12.4,1.05,0.006,0.216,0.007,2.01,1.6,1105.304,64.2,1118.896,0,79,1.81
